date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:26	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2013%20Nov%202021%2013:57:08%20GMT	http://azim.commonsupport.com/Atrix/assets/images/favicon-16.ico	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/favicon-16.ico	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:50:27	3116/3116	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2013:51:56%20GMT	http://azim.commonsupport.com/Atrix/assets/images/logo-19.png	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/logo-19.png	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:50:33	116992/116992	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Nov%202021%2000:40:30%20GMT	http://azim.commonsupport.com/Atrix/assets/images/background/cta-bg-4.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/background/cta-bg-4.jpg	(from http://azim.commonsupport.com/Atrix/index-15.html)
13:50:54	158786/158786	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Nov%202021%2014:37:10%20GMT	http://azim.commonsupport.com/Atrix/assets/images/banner/banner-30.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/banner/banner-30.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:50:55	2174/2174	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2016:31:28%20GMT	http://azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-96.png	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-96.png	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:50:56	182436/182436	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Nov%202021%2014:36:26%20GMT	http://azim.commonsupport.com/Atrix/assets/images/banner/banner-28.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/banner/banner-28.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:50:58	19822/19822	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2017:29:36%20GMT	http://azim.commonsupport.com/Atrix/assets/images/icons/signature-1.png	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/icons/signature-1.png	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:50:59	202623/202623	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Nov%202021%2014:37:02%20GMT	http://azim.commonsupport.com/Atrix/assets/images/banner/banner-29.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/banner/banner-29.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:00	2036/2036	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2017:49:06%20GMT	http://azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-97.png	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-97.png	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:04	33552/33552	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2017:47:08%20GMT	http://azim.commonsupport.com/Atrix/assets/images/service/service-26.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/service/service-26.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:05	1249/1249	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2017:49:38%20GMT	http://azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-98.png	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-98.png	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:10	58254/58254	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2017:47:36%20GMT	http://azim.commonsupport.com/Atrix/assets/images/service/service-27.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/service/service-27.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:10	90761/90761	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2017:40:54%20GMT	http://azim.commonsupport.com/Atrix/assets/images/background/service-bg-2.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/background/service-bg-2.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:11	38408/38408	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2017:47:56%20GMT	http://azim.commonsupport.com/Atrix/assets/images/service/service-28.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/service/service-28.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:11	1402/1402	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2017:50:02%20GMT	http://azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-99.png	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/icons/hid-icon-99.png	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:16	30794/30794	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2019:19:50%20GMT	http://azim.commonsupport.com/Atrix/assets/images/service/service-29.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/service/service-29.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
13:51:17	32837/32837	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2019:20:32%20GMT	http://azim.commonsupport.com/Atrix/assets/images/service/service-30.jpg	C:/Users/Vantage/Downloads/test3/azim.commonsupport.com/Atrix/assets/images/service/service-30.jpg	(from http://azim.commonsupport.com/Atrix/index-16.html)
